access_token text,	access_token: null,
api_product text,	api_product: null,
apiproxy text,	apiproxy: "echo",
apiproxy_revision text,	apiproxy_revision: "1"
ax_business_unit_id text,	
ax_cache_executed integer,	responsecache_executed: null,
ax_cache_key text,	responsecache_key: null,
ax_cache_l1_count bigint,	responsecache_l1_count: null,
ax_cache_name text,	responsecache_name: null,
ax_cache_source text,	responsecache_source: null,
ax_channel_id text,	
ax_client_app_name text,	apigee_sdk_client_appname: null,
ax_client_org_name text,	apigee_sdk_client_orgname: null,
ax_client_request_id text,	apigee_sdk_client_requestid: null,
ax_created_time timestamp without time zone,	
ax_day_of_week text,	
ax_device_id text,	apigee_sdk_client_deviceid: null,
ax_dn_region text,	x-apigee.edge.dn.region: "dc-1",
ax_edge_execution_fault_code text,	apigee.edge.execution.fault_code: null,
ax_edge_is_apigee_fault integer,	apigee.edge.execution.is_apigee_fault: 0,
ax_execution_fault_flow_name text,	x-apigee.edge.execution.fault_flow_name: null,
ax_execution_fault_flow_state text,	x-apigee.edge.execution.fault_flow_state: null,
ax_execution_fault_policy_name text,	x-apigee.edge.execution.fault_policy_name: null,
ax_geo_city text,	
ax_geo_continent text,	
ax_geo_country text,	
ax_geo_region text,	
ax_geo_timezone text,	
ax_hour_of_day text,	
ax_isp text,	
ax_market_id text,	
ax_month_of_year text,	
ax_mp_host text,	x-apigee.edge.mp_host: "n3.c.qwiklabs-gcp-e0d2e5cc607cd3c5.internal",
ax_partner_id text,	
ax_router_host text,	
ax_session_id text,	apigee_sdk_client_sessionid: null,
ax_traffic_referral_id text,	
ax_true_client_ip text	
ax_ua_agent_family text,	
ax_ua_agent_type text,	
ax_ua_agent_version text,	
ax_ua_device_category text,	
ax_ua_os_family text,	
ax_ua_os_version text,	
ax_week_of_month text,	
cache_hit integer,	cache_hit: null,
client_host text,	
client_id text,	client_id: null,
client_ip text,	client_ip: "62.232.113.211",
client_received_end_timestamp timestamp without time zone,	client_received_end_timestamp: 1529967595311,
client_received_start_timestamp timestamp without time zone,	client_received_start_timestamp: 1529967595311,
client_sent_end_timestamp timestamp without time zone,	client_sent_end_timestamp: 1529967595311,
client_sent_start_timestamp timestamp without time zone,	client_sent_start_timestamp: 1529967595311,
developer text,	developer: null,
developer_app text,	developer_app: null,
developer_email text,	developer_email: null,
environment text,	environment: "prod",
flow_resource text,	flow_resource: null,
gateway_flow_id text,	gateway_flow_id: "n2-29866-7157-1",
gateway_source text,	gateway_source: "message_processor",
groupid integer,	
is_error integer,	is_error: false,
message_count integer,	
organization text,	organization: "traininglab",
policy_error integer,	x-apigee.edge.is_policy_error: 0,
proxy text,	proxy: "default",
proxy_basepath text,	proxy_basepath: "/echo",
proxy_client_ip text,	proxy_client_ip: "62.232.113.211",
proxy_pathsuffix text,	proxy_pathsuffix: "",
request_path text,	request_path: "/echo",
request_processing_latency real,	
request_size bigint,	request_size: 0,
request_uri text,	request_uri: "/echo",
request_verb text,	request_verb: "GET",
response_processing_latency real,	
response_size integer,	response_size: null,
response_status_code integer,	response_status_code: 200,
sla boolean,	sla: false,
target text,	target: null,
target_basepath text,	target_basepath: null,
target_error integer,	x-apigee.edge.is_target_error: 0,
target_host text,	target_host: null,
target_ip text,	target_ip: null,
target_received_end_timestamp timestamp without time zone,	target_received_end_timestamp: null,
target_received_start_timestamp timestamp without time zone,	target_received_start_timestamp: null,
target_response_code integer,	target_response_code: null,
target_response_time real,	
target_sent_end_timestamp timestamp without time zone,	target_sent_end_timestamp: null,
target_sent_start_timestamp timestamp without time zone,	target_sent_start_timestamp: null,
target_url text,	target_url: null,
total_response_time real,	
useragent text,	useragent: "ApacheBench/2.3",
virtual_host text,	virtual_host: "default",
x_forwarded_for_ip text,	x_forwarded_for_ip: "62.232.113.211",
	x-apigee.edge.execution.sense.action: null,
	x-apigee.edge.execution.stats.request_flow_endtimestamp: 1529967595311,
	x-apigee.edge.execution.stats.request_flow_start_timestamp: 1529967595311,
	x-apigee.edge.execution.stats.response_flow_end_timestamp: 1529967595311,
	x-apigee.edge.execution.stats.response_flow_start_timestamp: 1529967595311,
	x-apigee.edge.stats.steps: "{}",
